imonth,iday,nwound,nkill
12,1,24,4
12,1,23,3
12,1,0,61
12,1,0,51
12,3,0,0
12,3,0,0
12,4,0,24
12,4,0,0
12,5,0,0
12,10,7,6
12,10,0,11
12,11,21,20
12,11,20,19
12,11,0,180
12,14,0,47
12,17,0,117
12,15,0,10
12,17,0,51
12,19,0,0
12,19,0,35
12,20,0,11
12,20,0,10
12,20,0,10
12,20,0,10
12,20,0,10
12,22,18,20
12,22,19,6
12,22,0,5
12,24,0,1
12,26,0,23
12,26,3,1
12,28,0,0
12,29,0,9
12,29,0,8
12,29,0,8
12,29,0,8
12,29,0,8
12,29,0,7
12,29,2,2
12,30,0,15
12,30,0,13
12,30,0,1
12,29,0,30
12,31,2,6
12,31,0,0
1,1,8,1
1,1,6,11
1,3,0,0
1,3,0,35
1,3,0,9
1,3,0,9
1,3,0,9
1,3,0,9
1,3,0,9
1,7,0,7
1,7,0,25
1,7,0,7
1,7,0,7
1,7,0,7
1,7,0,6
1,7,0,6
1,7,0,6
1,7,0,6
1,7,0,6
1,7,0,6
1,7,0,6
1,7,0,6
1,7,0,6
1,7,0,6
1,7,0,6
1,7,0,6
1,7,0,20
1,7,0,6
1,9,5,0
1,9,0,0
1,10,18,20
1,10,0,2
1,11,11,3
1,11,10,3
1,11,0,0
1,12,0,0
1,12,4,144
1,13,0,107
1,14,0,41
1,14,0,0
1,18,48,5
1,18,1,2
1,18,0,2
1,18,0,1
1,18,0,0
1,23,0,15
1,24,0,25
1,24,0,15
1,24,0,15
1,24,0,15
1,24,0,15
1,24,0,15
1,25,0,0
1,25,14,33
1,25,13,32
1,25,0,0
1,26,0,0
1,28,0,3
1,28,0,3
1,28,0,2
1,28,0,2
1,28,0,0
1,29,12,126
2,1,1,2
2,1,2,4
2,1,7,8
2,1,10,21
2,1,9,21
2,1,9,20
2,1,9,20
2,1,0,101
2,2,18,2
2,4,0,144
2,4,0,0
2,4,0,0
2,4,0,0
2,6,7,57
2,6,6,57
2,7,0,40
2,8,0,12
2,8,8,11
2,8,0,0
2,8,20,1
2,8,0,0
2,9,0,0
2,9,5,1
2,9,0,1
2,11,11,14
2,12,20,8
2,12,0,11
2,12,0,9
2,12,0,0
2,13,9,12
2,14,0,13
2,14,0,13
2,14,0,12
2,14,0,12
2,15,30,11
2,15,0,0
2,16,10,90
2,16,1,0
2,16,0,0
2,17,0,13
2,17,12,3
2,16,1,1
2,17,0,16
2,18,0,13
2,18,0,10
2,19,3,3
2,19,0,7
2,19,0,7
2,19,0,7
2,19,0,30
2,19,0,0
2,19,0,0
2,19,0,13
2,20,2,22
2,22,19,6
2,22,0,0
2,24,20,13
2,24,0,14
2,24,4,2
2,24,9,208
2,24,0,44
2,25,0,2
2,25,0,0
2,25,0,0
2,25,0,0
2,25,0,0
2,26,7,20
2,27,0,14
2,28,0,4
3,1,0,6
3,1,0,6
3,1,0,7
3,2,0,74
3,3,0,2
3,3,0,0
3,3,0,68
3,4,1,4
3,4,0,9
3,5,0,0
3,7,18,19
3,7,18,17
3,7,20,14
3,7,3,1
3,8,15,5
3,9,0,24
3,10,15,4
3,10,14,13
3,10,0,0
3,14,0,0
3,15,4,3
3,15,0,1
3,17,2,1
3,19,0,7
3,19,0,7
3,19,0,6
3,21,7,22
3,10,0,75
3,21,0,0
3,22,7,2
3,28,0,1
3,28,0,1
3,28,2,3
3,27,32,23
3,28,0,3
3,28,0,3
3,28,0,2
3,28,5,25
3,28,0,0
3,28,0,2
3,30,0,4
3,30,0,3
3,30,0,3
3,30,0,0
3,30,0,47
4,1,0,47
4,1,16,9
4,2,8,10
4,3,0,7
4,3,0,2
4,5,30,25
4,7,0,25
4,9,3,2
4,10,0,20
4,16,0,19
4,17,0,0
4,17,0,10
4,20,9,2
4,19,7,0
4,20,3,1
4,21,0,0
4,23,0,0
4,23,0,0
4,25,9,230
4,25,0,4
4,25,0,5
4,27,0,21
5,3,3,1
5,7,2,2
5,7,0,0
5,6,0,20
5,8,5,2
5,13,12,12
5,13,30,25
5,13,0,30
5,14,0,8
5,14,0,7
5,15,0,0
5,16,30,11
5,16,0,12
5,16,13,1
5,19,14,7
5,19,0,0
5,19,0,7
5,20,0,20
5,21,0,0
5,21,0,0
5,21,0,0
5,22,0,10
5,23,0,37
5,25,0,30
5,27,4,37
5,29,12,7
5,30,28,27
5,30,20,7
5,31,4,0
5,31,0,0
5,31,0,0
6,2,25,51
6,2,0,5
6,3,19,18
6,4,3,9
6,4,40,47
6,4,0,20
6,6,4,3
6,6,2,1
6,6,24,16
6,8,1,15
6,10,0,7
6,10,0,6
6,10,0,6
6,10,0,6
6,10,0,6
6,10,0,6
6,11,0,0
6,14,5,42
6,15,51,19
6,15,50,18
6,15,0,8
6,15,8,3
6,17,2,19
6,17,1,19
6,22,50,22
6,22,0,20
6,23,23,11
6,23,0,22
6,23,4,5
6,27,15,7
6,27,0,2
6,30,9,24
6,30,8,24
7,1,0,97
7,2,4,8
7,2,3,7
7,3,0,11
7,3,101,13
7,3,0,31
7,3,0,0
7,3,0,0
7,4,0,13
7,5,20,7
7,5,34,25
7,5,33,26
7,5,0,6
7,5,0,6
7,5,0,13
7,6,0,1
7,6,12,18
7,7,32,26
7,7,0,5
7,7,0,16
7,9,0,5
7,9,0,9
7,9,1,0
7,10,2,8
7,10,0,11
7,10,1,7
7,10,0,10
7,11,80,16
7,11,3,5
7,11,0,0
7,11,0,12
7,11,0,12
7,11,0,12
7,12,0,0
7,12,2,4
7,13,3,6
7,13,4,7
7,13,3,2
7,13,0,25
7,14,0,6
7,14,0,12
7,14,0,21
7,14,0,0
7,14,0,8
7,15,4,15
7,15,0,5
7,16,16,25
7,16,15,25
7,17,0,20
7,17,0,44
7,17,0,8
7,17,0,10
7,19,0,0
7,20,0,8
7,19,11,9
7,21,8,2
7,22,16,6
7,22,16,7
7,22,15,8
7,22,15,7
7,22,15,8
7,22,15,7
7,22,0,8
7,24,0,10
7,24,0,11
7,24,0,4
7,25,67,22
7,25,0,0
7,25,0,3
7,25,0,13
7,26,47,20
7,26,0,3
7,26,0,0
7,27,0,10
7,27,0,0
7,27,0,0
7,27,0,5
7,27,0,5
7,27,0,6
7,27,0,4
7,27,0,0
7,28,0,0
7,28,0,10
7,28,0,9
7,28,0,0
7,31,11,9
7,31,3,25
8,1,0,0
8,2,27,13
8,2,0,0
8,2,0,4
8,2,0,4
8,3,0,2
8,3,0,2
8,3,0,2
8,3,0,1
8,4,0,4
8,4,0,4
8,4,0,22
8,5,0,0
8,5,0,9
8,5,0,0
8,9,3,4
8,11,2,10
8,11,52,48
8,11,0,6
8,12,0,18
8,12,0,0
8,13,0,174
8,14,0,4
8,15,7,3
8,14,0,0
8,17,0,7
8,18,0,3
8,21,2,2
8,23,0,11
8,23,27,0
8,23,1,1
8,25,28,7
8,25,1,1
8,25,4,3
8,25,0,3
8,25,0,7
8,25,8,24
8,26,0,2
8,27,0,4
8,28,0,68
8,29,0,4
8,30,5,7
8,31,0,24
9,1,7,17
9,1,0,7
9,2,6,5
9,3,72,22
9,3,71,22
9,4,101,48
9,4,0,31
9,11,20,7
9,11,0,6
9,11,0,1
9,11,0,1
9,13,0,4
9,13,0,5
9,13,0,3
9,16,0,0
9,16,0,2
9,17,0,9
9,18,0,3
9,20,29,5
9,20,30,19
9,20,30,18
9,20,62,28
9,20,30,19
9,22,0,2
9,22,0,11
9,23,0,0
9,23,0,0
9,24,4,15
9,24,0,0
9,23,0,0
9,25,0,4
9,26,0,8
9,27,10,9
9,30,0,2
9,30,0,2
10,1,20,7
10,1,19,7
10,1,0,7
10,2,13,6
10,2,14,6
10,2,14,8
10,2,7,2
10,4,12,10
10,6,13,28
10,7,3,5
10,7,3,2
10,7,4,10
10,7,0,2
10,7,0,3
10,7,9,108
